Município - UF;COD mun
Caetanos - BA;2905156
Durande - MG;3123528
Sao Jose do Herval - RS;4318465
Santo Antonio do Sudoeste - PR;4124400
Ivatuba - PR;4111605
Sao Caitano - PE;2613107
Balneario Pinhal - RS;4301636
Hidrolina - GO;5209804
Vista Serrana - PB;2505501
Quinta do Sol - PR;4121109
Tufilandia - MA;2112274
Novo Planalto - GO;5215256
Igreja Nova - AL;2703205
Bom Principio - RS;4302352
Sinop - MT;5107909
Tenente Laurentino Cruz - RN;2414159
Barra Mansa - RJ;3300407
Girua - RS;4309001
Curitibanos - SC;4204806
Dom Joaquim - MG;3122603
Vila Langaro - RS;4323358
Godoy Moreira - PR;4108551
Cruz das Almas - BA;2909802
Goianinha - RN;2404200
Castelo do Piaui - PI;2202604
Lamarao - BA;2919108
Amajari - RR;1400027
Estrela d'Oeste - SP;3515202
Aracuai - MG;3103405
Balneario Picarras - SC;4212809
Campina das Missoes - RS;4303707
Moreira Sales - PR;4116109
Miracatu - SP;3529906
Pouso Alegre - MG;3152501
Silvanopolis - TO;1720655
Vargem Bonita - MG;3170602
Sao Joao do Paraiso - MG;3162708
Serra dos Aimores - MG;3166709
Francisco Macedo - PI;2204154
Santa Rosa - RS;4317202
Frutal - MG;3127107
Jumirim - SP;3525854
Tarabai - SP;3553906
Uruara - PA;1508159
Novo Xingu - RS;4313466
Joia - RS;4311155
Fernandopolis - SP;3515509
Mateus Leme - MG;3140704
Ametista do Sul - RS;4300646
Torre de Pedra - SP;3554656
Serrana - SP;3551504
Morungaba - SP;3532009
Capela Nova - MG;3112208
Santa Leopoldina - ES;3204500
Itapeva - SP;3522406
Chui - RS;4305439
Ribeira do Amparo - BA;2926509
Jaguari - RS;4311106
Cachoeira de Pajeu - MG;3102704
Sao Joao do Manhuacu - MG;3162559
Itabaianinha - SE;2803005
Campo Maior - PI;2202208
Sao Joao do Caru - MA;2111029
Sao Raimundo Nonato - PI;2210607
Morrinhos - CE;2308906
Oleo - SP;3533809
Jardim Olinda - PR;4112603
Paramoti - CE;2310407
Iramaia - BA;2914307
Sao Valerio do Sul - RS;4319737
Itambacuri - MG;3132701
Cachoeira Dourada - GO;5204250
Garca - SP;3516705
Lagoa Nova - RN;2406502
Caninde - CE;2302800
Iguaba Grande - RJ;3301876
Pedro do Rosario - MA;2108256
Matozinhos - MG;3141108
Veredinha - MG;3171071
Florania - RN;2403806
Caraubas - RN;2402303
Perolandia - GO;5216452
Bom Jesus do Galho - MG;3107802
Santa Luzia - MA;2110005
Barroquinha - CE;2302057
Pianco - PB;2511301
Ubarana - SP;3555356
Jesuania - MG;3135902
Confins - MG;3117876
Pedrinhas - SE;2805109
Campo Bom - RS;4303905
Olho dAgua das Flores - AL;2705705
Ronda Alta - RS;4316105
Bela Vista do Toldo - SC;4202131
Sao Luis do Paraitinga - SP;3550001
Baldim - MG;3105004
Divinopolis de Goias - GO;5208301
Jussara - PR;4113007
Teresina - PI;2211001
Pau dArco do Piaui - PI;2207793
Santa Helena - PB;2513307
Santana do Cariri - CE;2312106
Pilar do Sul - SP;3537909
Pratania - SP;3541059
Porto Feliz - SP;3540606
Barra da Estiva - BA;2902807
Irituia - PA;1503507
Parintins - AM;1303403
Sede Nova - RS;4320230
Goianorte - TO;1708304
Machadinho do Oeste - RO;1100130
Irajuba - BA;2914208
Rio Preto - MG;3155900
Sao Sebastiao de Lagoa de Roca - PB;2515104
Novo Cruzeiro - MG;3145307
Ibiai - MG;3129608
Sumare - SP;3552403
Erebango - RS;4306973
Sobradinho - BA;2930774
Floreal - SP;3515905
Entre Rios de Minas - MG;3123908
Buriti Alegre - GO;5203906
Divinolandia de Minas - MG;3122207
Sao Pedro da Agua Branca - MA;2111532
Brasil Novo - PA;1501725
Monte Castelo - SP;3531605
Eldorado - SP;3514809
Joaquim Tavora - PR;4112801
Tomar do Geru - SE;2807501
Bom Progresso - RS;4302378
Miguel Alves - PI;2206209
Quixabeira - BA;2925931
Serra do Salitre - MG;3166808
Porteiras - CE;2311108
Abre Campo - MG;3100302
Feira Nova do Maranhao - MA;2104073
Altamira do Maranhao - MA;2100402
Itajobi - SP;3521903
Xavantina - SC;4219606
Independencia - CE;2305605
Guaratingueta - SP;3518404
Arinos - MG;3104502
Itaucu - GO;5211404
Pirapora - MG;3151206
Esplanada - BA;2910602
Palmeira - SC;4212056
Centro Novo do Maranhao - MA;2103174
Sobral - CE;2312908
Fontoura Xavier - RS;4308300
Palmares do Sul - RS;4313656
Nova America - GO;5214705
Sitio Novo - RN;2413706
Wenceslau Guimaraes - BA;2933505
Alta Floresta dOeste - RO;1100015
Pindoretama - CE;2310852
Cha Grande - PE;2604502
Sao Roberto - MA;2111672
Conceicao de Ipanema - MG;3117405
Oeiras do Para - PA;1505205
Mage - RJ;3302502
Lupercio - SP;3527801
Acopiara - CE;2300309
Cachoeira do Piria - PA;1501956
Getulio Vargas - RS;4308904
Sao Jeronimo da Serra - PR;4124707
Arari - MA;2101004
Cafezal do Sul - PR;4103479
Alto Horizonte - GO;5200555
Bom Conselho - PE;2602100
Bento de Abreu - SP;3506201
Luis Gomes - RN;2407005
Pingo-d'Agua - MG;3150539
Viradouro - SP;3556800
Araujos - MG;3103900
Santo Antonio do Monte - MG;3160405
Serra Negra - SP;3551603
Luzerna - SC;4210035
Lagoa da Anta - RN;2406205
Bom Lugar - MA;2102077
Itau de Minas - MG;3133758
Pinheiro Machado - RS;4314506
Sao Bento do Norte - RN;2411601
Ocaucu - SP;3533700
Aguiar - PB;2500205
Ourem - PA;1505403
Nova Cruz - RN;2408300
Jacarei - SP;3524402
Pancas - ES;3204005
Sao Luis do Quitunde - AL;2708501
Caraubas - PB;2504074
Carnaubeira da Penha - PE;2603926
Florestopolis - PR;4108007
Carmo do Rio Claro - MG;3114402
Ibirama - SC;4206900
Francisco Alves - PR;4108320
Duere - TO;1707306
Caete - MG;3110004
Borba - AM;1300805
Orizona - GO;5215306
Guaxupe - MG;3128709
Jequia da Praia - AL;2703759
Palestina - AL;2706208
Itapecuru Mirim - MA;2105401
Trombudo Central - SC;4218608
Ipu - CE;2305803
Montadas - PB;2509503
Alexandria - RN;2400505
Pedro Regis - PB;2512721
Coqueiral - MG;3118700
Jussara - BA;2918506
Alto Garcas - MT;5100409
Iomere - SC;4207577
Acucena - MG;3100500
Minador do Negrao - AL;2705309
Pombos - PE;2611309
Nova Iorque - MA;2107308
Terra Alta - PA;1507961
Sao Jose do Xingu - MT;5107354
Barra do Ouro - TO;1703073
Nazario - GO;5214408
Linhares - ES;3203205
Alvorada dOeste - RO;1100346
Lago do Junco - MA;2105807
Calmon - SC;4203154
Senador Jose Porfirio - PA;1507805
Santo Antonio do Grama - MG;3160108
Monte Belo do Sul - RS;4312385
Formigueiro - RS;4308409
Ascurra - SC;4201703
Ibitita - BA;2913101
Timbiras - MA;2112100
Marinopolis - SP;3529104
Figueiropolis dOeste - MT;5103809
Teolandia - BA;2931608
Fernando de Noronha - PE;2605459
Pedro Afonso - TO;1716505
Senges - PR;4126306
Nova Mamore - RO;1100338
Novo Horizonte do Oeste - RO;1100502
Paripiranga - BA;2923803
Mirador - PR;4115903
Pontes e Lacerda - MT;5106752
Capixaba - AC;1200179
Candiota - RS;4304358
Ciriaco - RS;4305504
Vila Velha - ES;3205200
Mucurici - ES;3203601
Marilena - PR;4115002
Belem - PA;1501402
Pirapozinho - SP;3539202
Capim Branco - MG;3112505
Lambari dOeste - MT;5105234
Aurea - RS;4301552
Sao Jose do Calcado - ES;3204807
Nova Resende - MG;3145109
Itarema - CE;2306553
Jaguaribara - CE;2306801
Sao Jose do Goiabal - MG;3163409
Contenda - PR;4106209
Curuca - PA;1502905
Rosario do Catete - SE;2806107
Conceicao do Jacuipe - BA;2908507
Holambra - SP;3519055
Santa Maria do Cambuca - PE;2612703
Lambari d'Oeste - MT;5105234
Doutor Severiano - RN;2403202
Minas do Leao - RS;4312252
Corguinho - MS;5003108
Sapucaia do Sul - RS;4320008
Taquarana - AL;2709103
Itaberaba - BA;2914703
Loreto - MA;2106102
Campina do Monte Alegre - SP;3509452
Maceio - AL;2704302
Santa Ines - PR;4123600
Acailandia - MA;2100055
Saboeiro - CE;2311900
Guarani do Oeste - SP;3518008
Pinhais - PR;4119152
Varzea da Palma - MG;3170800
Goiandira - GO;5208509
Cerro Grande - RS;4305157
Queimadas - PB;2512507
Simolandia - GO;5220686
Gramado Xavier - RS;4309159
Ipuacu - SC;4207684
Bodoco - PE;2602001
Nicolau Vergueiro - RS;4312674
Bossoroca - RS;4302501
Chapadao do Lageado - SC;4204194
Japora - MS;5004809
Sao Miguel do Gostoso - RN;2412559
Vargem - SC;4219150
Tucuma - PA;1508084
Viadutos - RS;4322905
Jabora - SC;4208609
Maravilha - AL;2704609
Guarani - MG;3128402
Tururu - CE;2313559
Cariri do Tocantins - TO;1703867
Otacilio Costa - SC;4211751
Hidrolandia - CE;2305209
Patrocinio Paulista - SP;3536307
Joao Lisboa - MA;2105500
Gabriel Monteiro - SP;3516507
Leopolis - PR;4113403
Espumoso - RS;4307500
Patos - PB;2510808
Muniz Ferreira - BA;2922201
Mossamedes - GO;5213905
Buritama - SP;3508108
Aguas da Prata - SP;3500402
Sapezal - MT;5107875
Heliodora - MG;3129202
Ilhabela - SP;3520400
Mombaca - CE;2308500
Roque Gonzales - RS;4316303
Figueirao - MS;5003900
Camargo - RS;4303558
Paracatu - MG;3147006
Sao Gabriel do Oeste - MS;5007695
Ibiapina - CE;2305308
Colorado - RS;4305603
Quarai - RS;4315305
Solonopole - CE;2313005
Guarabira - PB;2506301
Novo Cabrais - RS;4313391
Pindoba - AL;2707008
Pauini - AM;1303502
Pedras de Maria da Cruz - MG;3149150
Carmo da Cachoeira - MG;3113909
